date,price,signal_1,signal_2,signal_3,signal_4,signal_5
2020-01-01,104.91399748122983,-0.9761879327896962,-0.07102607024183866,0.06376179032124861,0.86675284087499,0.005985230559603674
2020-01-02,107.42049772709163,-0.7594917236260461,0.930721576898541,-0.8699225778397872,0.5781238282342711,0.3281233477263733
2020-01-03,113.91812182059155,-0.7567855712307064,-0.8969600903816707,-0.7147570056800605,0.09489107468638337,0.20497163858828998
2020-01-06,111.97796031682137,-0.8446274227162338,-0.9213338207168162,0.27053504642646664,-0.11092726182299757,0.6262781392623757
2020-01-07,114.5123437738524,0.8485293812068292,-0.5446245612485978,0.010544489648325819,0.14976445579355485,0.3601115863849183
2020-01-08,113.33332022321558,-0.18872304839550627,0.868366343396957,-0.4611573401338857,-0.3176821660052336,-0.41069078738872494
2020-01-09,108.57541103129374,-0.29066410822288963,-0.9416238223614338,-0.38830668438770943,-0.9235683708760227,0.8805400555215702
2020-01-10,104.08295588800532,-0.9915211363845489,-0.9974034932993336,0.6481120886830407,0.9365997801494761,0.1901266799253989
2020-01-13,99.84020682519701,0.7292802277581496,-0.4650907788772691,-0.44631541221300675,0.16046399062976946,-0.050757565098368845
2020-01-14,96.07362273512881,-0.9392750232585716,0.5818092952120637,-0.08478266398981849,0.31097313896475315,0.5237256411657095
2020-01-15,93.7101413484265,0.07561985194743458,0.8921110324229441,0.9738422241943533,-0.05441359427825423,0.14059191365052992
2020-01-16,89.55088765294013,0.3451522844034401,-0.525705185998134,-0.8961034848822562,-0.5486803147479905,0.20805654884298355
2020-01-17,86.43113502633598,0.9547413049025141,-0.4744711585056142,-0.95395138207188,-0.169209211675694,0.900185664214527
2020-01-20,87.37005383941724,-0.95383122805132,0.872726822481625,0.6311446210162328,-0.8667314864663226,-0.20250779070145855
2020-01-21,88.21225314818984,-0.9996287783865753,-0.9805718707510555,-0.6334530799022332,0.9417329598820557,-0.2535246197300616
2020-01-22,87.14331272278321,0.21478548034988945,-0.46637791716835497,-0.34296063588569686,-0.7726282153021526,0.030730978483103775
2020-01-23,85.33347496964224,0.9859884126901692,0.18271177857050627,-0.6777163318499831,-0.7010157625560748,0.5364712191519715
2020-01-24,83.72928997475076,0.9344209462676091,0.45951086869908,-0.29329862037186566,-0.37530082290450584,-0.7380996741619483
2020-01-27,83.12329122783397,0.21904885497459411,-0.5932293672549005,0.9100253195216939,0.7440958070576921,-0.8483396881107406
2020-01-28,80.40356185823389,-0.6469554356767678,-0.04040280938437639,0.6171411793859114,-0.07003200161214915,-0.4086780569694427
2020-01-29,77.99901512500813,0.7819758298428119,-0.9956608705750832,0.6542468045669922,-0.7888743568571772,-0.7856215071532223
2020-01-30,74.48353537422327,-0.8987194194201087,-0.7126034697110752,-0.9084852524150104,0.716743224120865,-0.34296970727996484
2020-01-31,74.0936615784635,0.5167235129330634,0.4212156551335976,-0.847213275092776,0.45402514316551595,0.2035740641414733
2020-02-03,74.2355807666695,0.5374791923261192,-0.8580244484594315,-0.9944937726066618,0.3128429588685761,-0.5659224540152713
2020-02-04,73.31396056561172,0.8790121645165857,-0.04208220388297952,-0.7269690309445825,0.4298390645811052,-0.7482575110632625
2020-02-05,74.84440840268502,0.9988689649209678,0.38959691566811105,0.6814311151019907,0.9458203994015675,-0.08312769816566357
2020-02-06,72.83785846576588,0.43131056096631065,-0.4612797664544348,0.40454364205067705,0.9302440107485607,0.40502825272007853
2020-02-07,69.56599779722352,-0.6644255401213787,0.11588687591927761,-0.300127676095929,-0.5632078498484772,-0.8023344265102287
2020-02-10,68.42424473820428,-0.1440949954171031,-0.8523218436190864,-0.1308466518018607,0.8305190409790633,0.36517006249214673
2020-02-11,68.61854154651834,-0.9883425645432387,-0.3281766973982042,-0.6537017173660482,0.21049054779685622,0.37783676930577664
2020-02-12,70.25812614328044,-0.7968289489217237,0.5476319395491698,0.08726947361959825,0.27476418246677625,0.4261510999807345
2020-02-13,68.22748371329617,-0.5954610375044176,0.07513610829516588,0.5735443127169326,-0.8989856410229402,0.5497329710374135
2020-02-14,68.28276285814994,-0.7094157723956634,-0.6942534516479685,-0.9434084808550393,-0.2808379947706911,0.8239273684342869
2020-02-17,67.13215290969437,0.03443650326467037,0.08996905445927829,0.12021679077006325,-0.6799954461895428,-0.3735151094011758
2020-02-18,64.92157984421986,-0.8683414733361665,0.5932215068837483,0.6396170585843853,0.4522598573937145,-0.10873492216774243
2020-02-19,64.3173091346235,0.8873459868504995,-0.9894568370586725,-0.5191974726732065,0.602284418927988,-0.38847539651901586
2020-02-20,63.17026777309077,-0.15515945546579513,0.8437863925234378,0.49600067359273065,-0.9484684006694869,-0.15428469400326933
2020-02-21,60.42271755281987,-0.17036853317693199,-0.5098532305952195,0.9901770501134177,-0.17483870123119227,0.6414880747979119
2020-02-24,62.052824951666416,-0.5539765225411005,0.3324143651149026,-0.26305770218182634,0.6245566954613865,-0.7496066101334656
